entry_datetime,exit_datetime,action,entry_price,exit_price,profit,bar_len,size,cash,portfolio_value
2024-09-21 22:45:00,2024-09-21 23:00:00,BUY SIDE,62913.84,63185.42,59.26000000000204,1,0,98973.17000000001,98973.17000000001
2024-09-21 23:15:00,2024-09-22 00:00:00,BUY SIDE,63190.15,63213.0,-62.150000000001455,3,0,98911.02000000002,98911.02000000002
2024-09-22 00:15:00,2024-09-22 00:30:00,BUY SIDE,63101.7,63180.19,32.11000000000058,1,0,98943.13000000002,98943.13000000002
2024-09-22 00:45:00,2024-09-22 01:45:00,BUY SIDE,63181.23,62946.04,-224.83000000000175,4,0,98718.30000000002,98718.30000000002
2024-09-22 02:00:00,2024-09-22 04:15:00,BUY SIDE,62954.5,62987.1,16.5,9,0,98734.80000000002,98734.80000000002
2024-09-22 07:15:00,2024-09-22 07:30:00,BUY SIDE,62618.5,62803.06,124.08000000000175,1,0,98858.88000000002,98858.88000000002
2024-09-22 07:45:00,2024-09-22 09:15:00,BUY SIDE,62871.9,62736.6,-39.01000000000204,6,0,98819.87000000002,98819.87000000002
2024-09-22 10:00:00,2024-09-22 11:30:00,BUY SIDE,62589.06,62720.35,165.77999999999884,6,0,98985.65000000002,98985.65000000002
2024-09-22 11:45:00,2024-09-22 12:00:00,BUY SIDE,62720.36,62493.92,-66.41000000000349,1,0,98919.24000000002,98919.24000000002
2024-09-22 13:45:00,2024-09-22 14:45:00,BUY SIDE,63034.3,62956.97,-34.30000000000291,4,0,98884.94000000002,98884.94000000002
2024-09-22 15:15:00,2024-09-22 16:15:00,BUY SIDE,62917.59,63255.87,350.63000000000466,4,0,99235.57000000002,99235.57000000002
2024-09-22 16:30:00,2024-09-22 17:45:00,BUY SIDE,63260.8,62865.0,-145.06000000000495,5,0,99090.51000000001,99090.51000000001
2024-09-22 18:45:00,2024-09-22 19:00:00,BUY SIDE,63495.25,63586.14,382.0500000000029,1,0,99472.56000000001,99472.56000000001
2024-09-22 20:30:00,2024-09-22 21:15:00,BUY SIDE,63190.72,63696.36,609.2799999999988,3,0,100081.84000000001,100081.84000000001
2024-09-22 22:00:00,2024-09-22 22:45:00,BUY SIDE,63843.7,63936.05,81.30000000000291,3,0,100163.14000000001,100163.14000000001
2024-09-22 23:15:00,2024-09-22 23:45:00,BUY SIDE,64308.44,64353.17,191.48999999999796,2,0,100354.63,100354.63
2024-09-23 00:15:00,2024-09-23 00:30:00,BUY SIDE,64328.03,63900.1,-410.8600000000006,1,0,99943.77,99943.77
2024-09-23 01:00:00,2024-09-23 02:30:00,BUY SIDE,63939.0,63705.74,-291.5,6,0,99652.27,99652.27
2024-09-23 03:00:00,2024-09-23 03:15:00,BUY SIDE,63666.6,63484.2,-143.5199999999968,1,0,99508.75,99508.75
